filter_name,score,avg_like,img1,img2,img3,img4
Normal,132,45,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11426810_952269484812851_1793245979_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410515_964343970262958_693893479_n.jpg,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/1389358_871218129616354_1988373364_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358114_1628471514067866_1322094710_n.jpg
Amaro,11,11,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/e15/10809751_841217795927041_1773709313_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420874_1122875631072791_628411721_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11287496_972644899454262_1997500251_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335337_1463657403926756_665194587_n.jpg
Lark,11,15,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11258805_498236400324774_1651201092_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11429253_394573950740540_1753041454_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380997_859171657502083_219675045_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377423_1448596915435942_1578435474_n.jpg
Ludwig,10,20,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420794_1665527367004494_2013225929_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11386427_276865809150812_1277585636_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377410_1443179882667119_1828810088_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374712_986358871397898_534432931_n.jpg
Mayfair,8,9,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11381863_800335733415958_329500577_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327866_1444246092543900_2061247229_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378269_959403124081174_1814249872_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376193_1591898037750779_1006815250_n.jpg
Juno,8,31,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313429_582870451856039_1765099840_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327025_1015267838484816_6890239_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11386449_1015684171788788_1955610068_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11328276_1601542603458985_246575357_n.jpg
Reyes,6,14,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11373647_487251801439363_1552590443_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379996_1606051436331395_688910813_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355145_2077919729015408_338530121_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11274412_642232992579026_1021727156_n.jpg
Inkwell,5,6,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11283357_399887106883296_2101555728_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11287784_651293221667470_1095685582_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11247863_949809538373274_177530336_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357969_1132336840125412_2098704772_n.jpg
X-Pro II,5,20,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325179_1610905469179923_371902007_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11250244_840505332706506_1176833561_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374776_1615156622089167_90057299_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378785_366534960213498_1171387620_n.jpg
Lo-fi,4,17,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377793_1441423912828797_1860844295_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378989_704620086351456_1232728098_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385219_1628720017343856_80953074_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11311985_465847756909133_272779710_n.jpg
Valencia,4,27,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427460_984273471617898_1657586182_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335833_1039976036027654_1639456341_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312383_786522461461202_1752574405_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372023_927275047333947_1737983963_n.jpg
Sierra,4,8,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377880_1433236263652222_2002289227_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335769_1454604838184805_1652285233_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378952_887350378002857_1214358012_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11424617_120880888243432_624325816_n.jpg
